id,조사연도,조사시작일자,조사종료일자,한글보통명,학명,경도,위도,개체수,시도명
008020194000000205,2017.0,2017-05-17,2017-05-17,박새,Parus major,129.28369900001124,36.89217499999204,2.0,경상북도
008020194000000206,2017.0,2017-05-17,2017-05-17,쇠박새,Parus palustris,129.28369900001124,36.89217499999204,1.0,경상북도
008020194000000207,2017.0,2017-05-17,2017-05-17,파랑새,Eurystomus orientalis,129.2856920000113,36.89265799999199,2.0,경상북도
008020194000000208,2017.0,2017-05-17,2017-05-17,참새,Passer montanus,129.2856920000113,36.89265799999199,5.0,경상북도
008020194000000209,2017.0,2017-05-17,2017-05-17,동고비,Sitta europaea,129.2856920000113,36.89265799999199,2.0,경상북도
008020194000000210,2017.0,2017-05-17,2017-05-17,되지빠귀,Turdus hortulorum,129.2856920000113,36.89265799999199,1.0,경상북도
008020194000000211,2017.0,2017-05-17,2017-05-17,검은등뻐꾸기,Cuculus micropterus,129.2856920000113,36.89265799999199,1.0,경상북도
008020194000000212,2017.0,2017-05-17,2017-05-17,직박구리,Microscelis amaurotis,129.28647700001127,36.89455199999198,1.0,경상북도
008020194000000213,2017.0,2017-05-17,2017-05-17,박새,Parus major,129.28647700001127,36.89455199999198,2.0,경상북도
008020194000000214,2017.0,2017-05-17,2017-05-17,딱새,Phoenicurus auroreus,129.28647700001127,36.89455199999198,1.0,경상북도
008020194000000215,2017.0,2017-05-17,2017-05-17,벙어리뻐꾸기,Cuculus saturatus,129.30856000001188,36.8869619999915,1.0,경상북도
008020194000000216,2017.0,2017-05-17,2017-05-17,직박구리,Microscelis amaurotis,129.30856000001188,36.8869619999915,2.0,경상북도
008020194000000217,2017.0,2017-05-17,2017-05-17,참새,Passer montanus,129.30856000001188,36.8869619999915,2.0,경상북도
008020194000000218,2017.0,2017-05-17,2017-05-17,동고비,Sitta europaea,129.3082290000119,36.886572999991515,1.0,경상북도
008020194000000219,2017.0,2017-05-17,2017-05-17,박새,Parus major,129.3082290000119,36.886572999991515,1.0,경상북도
008020194000000220,2017.0,2017-05-17,2017-05-17,노랑턱멧새,Emberiza elegans,129.3082290000119,36.886572999991515,4.0,경상북도
008020194000000221,2017.0,2017-05-17,2017-05-17,벙어리뻐꾸기,Cuculus saturatus,129.3082290000119,36.886572999991515,1.0,경상북도
008020194000000222,2017.0,2017-05-17,2017-05-17,직박구리,Microscelis amaurotis,129.30357600001176,36.89432799999161,2.0,경상북도
008020194000000223,2017.0,2017-05-17,2017-05-17,노랑할미새,Motacilla cinerea,129.30357600001176,36.89432799999161,1.0,경상북도
008020194000000224,2017.0,2017-05-17,2017-05-17,딱새,Phoenicurus auroreus,129.30357600001176,36.89432799999161,1.0,경상북도
008020194000000225,2017.0,2017-05-17,2017-05-17,때까치,Lanius bucephalus,129.30552300001182,36.89552699999157,1.0,경상북도
008020194000000226,2017.0,2017-05-17,2017-05-17,뻐꾸기,Cuculus canorus,129.30552300001182,36.89552699999157,1.0,경상북도
008020194000000227,2017.0,2017-05-17,2017-05-17,검은등뻐꾸기,Cuculus micropterus,129.30552300001182,36.89552699999157,1.0,경상북도
008020194000000228,2017.0,2017-05-17,2017-05-17,꿩,Phasianus colchicus,129.30552300001182,36.89552699999157,1.0,경상북도
008020194000000229,2017.0,2017-05-17,2017-05-17,왜가리,Ardea cinerea,129.30014900001166,36.895355999991686,1.0,경상북도
008020194000000230,2017.0,2017-05-17,2017-05-17,박새,Parus major,129.30014900001166,36.895355999991686,2.0,경상북도
008020194000000231,2017.0,2017-05-17,2017-05-17,박새,Parus major,129.30014900001166,36.895355999991686,1.0,경상북도
008020194000000232,2017.0,2017-05-17,2017-05-17,직박구리,Microscelis amaurotis,129.30014900001166,36.895355999991686,1.0,경상북도
008020194000000233,2017.0,2017-05-17,2017-05-17,뻐꾸기,Cuculus canorus,129.29742300001158,36.89356499999173,1.0,경상북도
008020194000000234,2017.0,2017-05-17,2017-05-17,검은등뻐꾸기,Cuculus micropterus,129.29742300001158,36.89356499999173,1.0,경상북도
008020194000000235,2017.0,2017-05-17,2017-05-17,쇠딱다구리,Dendrocopos kizuki,129.29742300001158,36.89356499999173,1.0,경상북도
008020194000000236,2017.0,2017-05-17,2017-05-17,쇠솔새,Phylloscopus borealis,129.29742300001158,36.89356499999173,1.0,경상북도
008020194000000237,2017.0,2017-05-17,2017-05-17,붉은머리오목눈이,Paradoxornis webbianus,129.29818200001162,36.89574499999172,5.0,경상북도
008020194000000238,2017.0,2017-05-17,2017-05-17,때까치,Lanius bucephalus,129.29818200001162,36.89574499999172,1.0,경상북도
008020194000000239,2017.0,2017-05-17,2017-05-17,딱새,Phoenicurus auroreus,129.29818200001162,36.89574499999172,2.0,경상북도
008020194000000240,2017.0,2017-05-17,2017-05-17,직박구리,Microscelis amaurotis,129.29818200001162,36.89574499999172,2.0,경상북도
008020194000000241,2017.0,2017-05-17,2017-05-17,딱새,Phoenicurus auroreus,129.31045800001195,36.90215399999145,1.0,경상북도
008020194000000242,2017.0,2017-05-17,2017-05-17,뻐꾸기,Cuculus canorus,129.31045800001195,36.90215399999145,2.0,경상북도
008020194000000243,2017.0,2017-05-17,2017-05-17,참새,Passer montanus,129.31045800001195,36.90215399999145,4.0,경상북도
