id,학명,한글보통명,위도,경도,조사일자,조사연도,시도명,개체수,geometry
008000000002097876,Turdus hortulorum,되지빠귀,36.89816694120287,129.04424999964334,2014-06-25,2014,경상북도,1,POINT (382215.3707999997 479663.9916999992)
008000000002322638,Oriolus chinensis,꾀꼬리,36.842083060869946,126.67841689976768,2014-06-25,2014,충청남도,,POINT (171316.2203000002 471536.2065999992)
008000000002298548,Cuculus canorus,뻐꾸기,36.942388890834025,129.05333309998716,2014-06-25,2014,경상북도,1,POINT (382919.3820000002 484589.8498999998)
008000000002097870,Turdus hortulorum,되지빠귀,36.89161111050192,129.09263889984308,2014-06-25,2014,경상북도,2,POINT (386545.0389999999 479029.8575999998)
008000000002343363,Oriolus chinensis,꾀꼬리,36.84675000045775,128.53925000007354,2014-06-25,2014,경상북도,,POINT (337290.3750999998 473111.8999000005)
008000000002278278,Alcedo atthis,물총새,37.75721694125108,126.5150250000594,2014-06-25,2014,인천광역시,,POINT (157263.2752999999 573163.2447999995)
008000000002343359,Turdus hortulorum,되지빠귀,36.84633306105382,128.53597189968232,2014-06-25,2014,경상북도,,POINT (336998.7155999998 473060.9186000004)
008000000002322636,Oriolus chinensis,꾀꼬리,36.842083060869946,126.67841689976768,2014-06-25,2014,충청남도,,POINT (171316.2203000002 471536.2065999992)
008000000002278257,Eurystomus orientalis,파랑새,37.742683061316114,126.52379690020966,2014-06-25,2014,인천광역시,,POINT (158028.0643999996 571546.1196999997)
008000000002097874,Turdus hortulorum,되지빠귀,36.89688889135181,129.0188611000468,2014-06-25,2014,경상북도,2,POINT (379955.0538999997 479473.9316000007)
008000000002322639,Eurystomus orientalis,파랑새,36.842083060869946,126.67841689976768,2014-06-25,2014,충청남도,,POINT (171316.2203000002 471536.2065999992)
008000000002293728,Turdus hortulorum,되지빠귀,36.9705000008831,129.12099999964835,2014-06-25,2014,경상북도,1,POINT (388878.7111 487842.1806000005)
008000000002097869,Turdus hortulorum,되지빠귀,36.89180611091261,129.06044390027566,2014-06-25,2014,경상북도,2,POINT (383674.2471000003 478989.0261000004)
008000000002298560,Turdus hortulorum,되지빠귀,36.95327500048089,129.04800609973054,2014-06-25,2014,경상북도,2,POINT (382418.8015999999 485787.9564999994)
008000000002298557,Turdus hortulorum,되지빠귀,36.94913611103765,129.04664390050135,2014-06-25,2014,경상북도,1,POINT (382307.3230999997 485325.9463)
008000000002097919,Turdus hortulorum,되지빠귀,36.950221941252224,129.07555609961912,2014-06-25,2014,경상북도,2,POINT (384880.4002 485502.1904000007)
008000000002298543,Turdus hortulorum,되지빠귀,36.93955611115981,129.0126938995898,2014-06-25,2014,경상북도,2,POINT (379305.2939999998 484198.1766999997)
008000000002097903,Turdus hortulorum,되지빠귀,36.92152806072582,129.07597190045266,2014-06-25,2014,경상북도,1,POINT (384986.818 482318.0668000001)
008000000002298554,Turdus hortulorum,되지빠귀,36.94736694052986,129.04564390038655,2014-06-25,2014,경상북도,1,POINT (382222.4523999998 485127.6613999996)
008000000002097873,Turdus hortulorum,되지빠귀,36.89611111074023,129.0517218998183,2014-06-25,2014,경상북도,1,POINT (382886.3707999997 479450.1041000001)
008000000002097868,Turdus hortulorum,되지빠귀,36.887278060635275,129.05958309996086,2014-06-25,2014,경상북도,2,POINT (383608.3530000001 478484.7744999994)
008000000002097885,Turdus hortulorum,되지빠귀,36.90363889101876,129.03561109964176,2014-06-25,2014,경상북도,2,POINT (381432.2843000004 480254.8841999993)
008000000002293729,Turdus hortulorum,되지빠귀,36.97338889099453,129.11863890036,2014-06-25,2014,경상북도,1,POINT (388661.2899000002 488158.1612999998)
008000000002293731,Turdus hortulorum,되지빠귀,36.98661111088032,129.12347190023542,2014-06-25,2014,경상북도,1,POINT (389058.9808 489635.3959999997)
008000000002298580,Turdus hortulorum,되지빠귀,37.00166694084839,129.02930610000706,2014-06-25,2014,경상북도,1,POINT (380638.4911000002 491123.6514999997)
008000000002097886,Turdus hortulorum,되지빠귀,36.902793891112346,129.09498109946307,2014-06-25,2014,경상북도,2,POINT (386726.5960999997 480275.6912999991)
008000000002096200,Oriolus chinensis,꾀꼬리,36.78111111120977,126.62741689963556,2014-06-26,2014,충청남도,,POINT (166740.8658999996 464786.3812000006)
008000000002097830,Turdus hortulorum,되지빠귀,36.84425000122877,129.0799439003825,2014-06-26,2014,경상북도,2,POINT (385527.7688999996 473748.2207999993)
008000000002342959,Oriolus chinensis,꾀꼬리,36.7848061109202,128.54644390027065,2014-06-26,2014,경상북도,,POINT (338043.2860000003 466247.3790000007)
008000000002097827,Turdus hortulorum,되지빠귀,36.842778060710685,129.10311109977738,2014-06-26,2014,경상북도,1,POINT (387598.1063000001 473630.1012999993)
008000000002343264,Oriolus chinensis,꾀꼬리,36.82444389101658,128.5781938999877,2014-06-26,2014,경상북도,,POINT (340805.0383000001 470692.9081999995)
008000000002097853,Turdus hortulorum,되지빠귀,36.862693890526316,129.0452811003832,2014-06-26,2014,경상북도,2,POINT (382391.6769000003 475728.6182000004)
008000000002285858,Oriolus chinensis,꾀꼬리,36.86902806057629,128.5435281000852,2014-06-26,2014,경상북도,,POINT (337632.0133999996 475590.6188999992)
008000000002097838,Turdus hortulorum,되지빠귀,36.85208306070252,129.11900000024812,2014-06-26,2014,경상북도,1,POINT (388992.6661999999 474694.2522999998)
008000000002096223,Oriolus chinensis,꾀꼬리,36.81097194071827,126.6518611001149,2014-06-26,2014,충청남도,,POINT (168934.9789000005 468091.9516000003)
008000000002097857,Turdus hortulorum,되지빠귀,36.86800000067861,129.02130610043517,2014-06-26,2014,경상북도,1,POINT (380240.9400000004 476272.0271000005)
008000000002341353,Oriolus chinensis,꾀꼬리,36.76775000049626,128.53327810041964,2014-06-26,2014,경상북도,,POINT (336898.2960999999 464335.4901999999)
008000000002097823,Turdus hortulorum,되지빠귀,36.842056110582945,129.08722190014112,2014-06-26,2014,경상북도,1,POINT (386182.358 473518.8729999997)
008000000002342960,Oriolus chinensis,꾀꼬리,36.78483306047733,128.5464438997455,2014-06-26,2014,경상북도,,POINT (338043.2375999996 466250.3699999992)
008000000002294614,Turdus hortulorum,되지빠귀,36.85900000072884,129.0204439004042,2014-06-26,2014,경상북도,2,POINT (380185.1897 475271.4478999991)
